index,question,answer_summary
1,Зачем нужны ПТЭ?,"В правилах технической эксплуатации железных дорог описаны система организации движения поездов, требования технической эксплуатации и обязанности работников железнодорожного транспорта."
2,Кто должен выполнять правила технической эксплуатации?,"Правила должны выполняться всеми организациями, выполняющими работы или оказывающими услуги для пользователей услугами железнодорожного транспорта."
3,Где найти информацию о требованиях к видимым сигналам?,"Требования к видимым и звуковым сигналам, а также типы сигнальных приборов приведены в Инструкции по сигнализации на железнодорожном транспорте Российской Федерации, содержащейся в приложении номер 1 к ПТЭ."
4,Где найти правила приема и отправления поездов?,"Правила приёма, отправления и пропуска поездов, выполнения маневровой работы, закрепления состава, порядок назначения поездов приведены в Инструкции по организации движения поездов и маневровой работы на железнодорожном транспорте Российской Федерации в приложении номер 2 к Правилам."
5,Какие обязанности у работников ЖД транспорта?,"Работники должны обеспечивать выполнение ПТЭ и приложений к ним, безопасность движения и эксплуатации железнодорожного транспорта."
6,Кто следит за соблюдением ПТЭ?,Соблюдение ПТЭ обеспечивается работодателями.
7,На ком ответственность за содержание путей?,Ответственными являются работники железнодорожного транспорта.
8,Что необходимо сообщать руководителю?,"Работники должны оповещать руководителя оситуациях, угрожающих жизни и здоровью людей и сохранности имущества работадателя."
9,Что делать при обнаружении неисправностей?,"При обнаружении неисправностей, угрожающих безопасности движения, или при проследовании поезда без поездных сигналов необходимо подать сигнал остановки поезду и принять меры по его остановки и устранению неисправности и сообщить держуному по ближайшей станции."
10,Кому разрешен доступ на локомотивы?,"Доступ на локомотивы, в кабины управления подвижного состава, к устройствам безопасности, в помещения для управления этим устройствами имеют работники железнодорожного транспорта, если это предусмотрено должностными обязанностями. Доступ посторонних лиц запрещен."
11,Кому разрешено переводить стрелки?,Переводить стрелки и управлять устройствами обеспечения безопасности разрешается работникам в соответствии с их должностными обязанностями.
12,Что необходимо для допуска к управлению локомотивами?,Работники допускаются к управлению локомотивами и составами при наличии свидетельства.
13,Как осуществляется допуск к управления локомотивами студентов и стажеров?,"Доступ к управлению локомотивами, подвижным составом, устройствами обеспечения безопасности работников, проходящих стажировку и лиц, проходящих обучение, осуществляется в порядке, устанавливаемым локальным нормативным актом владельца инфраструктуры железнодорожного транспорта."
14,"Какие медицинские осмотры предусмотрены для лиц, принимаемых на работу?","Лица, принимаемые на работу проходят предварительные и периодические медицинские осмотры, включающие химико-токсигологические исследования на наличие наркотических и психотропных веществ."
15,Какие медосмотры нужно проходить работникам?,"Работники проходят обязательные предрейсовые или предсменные осмотры, а также медицинское освидетельствование на состояние опьянения по требованию работадателей."
16,В каком случае работник отстраняется от работы?,"От работы отстраняются работники железнодорожного транспорта, находящиеся в состоянии алкогольного, токсического или наркотического опьянения."
17,Как проверяют знания работников?,"Работники должны проходить аттестацию, в которую может входить проверка знаний ПТЭ, инструкций по организации движения поездов, по сигнализации на железнодорожном транспорте, технических условий размещения и крепления грузов и других нормативных актов. "
18,"Что произойдет,  если не пройти аттестацию?","Работники, которые не прошли аттестацию не допускаются до работ."
19,Какой нормативный акт регулирует проведение аттестации?,"Аттестации регулируются пунктом 4 статьи 25 Федерального закона ""О железнодорожном транспорте в Российской Федерации""."
20,Кто обеспечивает безопасность эксплуатации объектов железнодорожного транспорта?,Владелец инфраструктуры должен обеспечивать безопасную эксплуатацию объектов железнодорожного транспорта.
21,Какие требования предъявляются к  оборудованию на железной дороге?,"Железнодорожное оборудование должно соответствовать проектной, конструкторской и эксплуатационной документации. Владелец оборудования должен иметь на него техническую документацию."
22,Какие документы должен иметь владелец инфраструктуры?,"Владелец инфраструктуры обязан иметь документацию на железнодорожные пути, сооружения и устройства, планы станций, продольные профили всех путей, сортировочных горок."
23,Где размещаются депо и ПТО?,"Объекты обслуживания и ремонта подвижного состава должны быть размещены таким образом, чтобы обеспечить  эффективное использование ресурсов, безопасность работы, условия для ликвидации аварий и тушения пожаров."
24,Какие требования предъявляются к размещению сооружений и устройств вагонного хозяйства? ,"Размещение и оснащение объектов вагонного хозяйства осуществляется таким образом, чтобы обеспечить качественный ремонт и обслуживание, рациональное использование ресурсов, безопасность, условия для тушения пожаров и ликвидации аварий с опасными грузами."
